Consignee Name,Consignee Address,Shipper Name,Country of Origin,Country of Destination,Arrival Date,HS Code,Product Description,Quantity,Weight (KG)
"LAGOS MOTO PARTS ENTERPRISES LTD","12 Ojuelegba Road, Surulere, Lagos",GUANGZHOU YIHENG TRADING CO LTD,CHINA,Nigeria,2026-05-18,871410,"MOTORCYCLE SPARE PARTS - CG125 CYLINDER KITS",1200,8400
"LAGOS MOTO PARTS ENTERPRISES LTD","12 Ojuelegba Road, Surulere, Lagos",FOSHAN NANHAI AUTO PARTS,CHINA,Nigeria,2026-03-02,871420,"BRAKE SHOES AND CHAIN SETS",900,5200
"LAGOS MOTO PARTS ENTERPRISES LTD C/O SEAFREIGHT NIG","12 Ojuelegba Road, Surulere, Lagos",NINGBO WELL AUTO,CHINA,Nigeria,2026-01-14,871410,"PISTON RINGS GN125",2000,3100
"AL FAHAD AUTO SPARE PARTS TRADING LLC","Deira, Naif Road, Dubai",CHONGQING LONGXIN EXPORT,CHINA,United Arab Emirates,2026-06-01,870830,"BRAKE PADS ASSORTED",4400,12600
"AL FAHAD AUTO SPARE PARTS TRADING LLC","Deira, Naif Road, Dubai",JIANGSU HUAYU FILTERS,CHINA,United Arab Emirates,2026-04-22,842123,"OIL FILTERS FOR PASSENGER CARS",7800,9400
"IMPORTADORA ANDINA DE REPUESTOS S.A.S.","Calle 13 No. 68-98, Bogota",SHANGHAI KEEP AUTO,CHINA,Colombia,2026-05-09,870830,"BRAKE DISCS AND PADS",3100,15200
"IMPORTADORA ANDINA DE REPUESTOS S.A.S.","Calle 13 No. 68-98, Bogota",GUANGZHOU YIHENG TRADING CO LTD,CHINA,Colombia,2026-02-11,871420,"MOTORCYCLE CHAIN AND SPROCKET",1800,4300
TO ORDER,,ZHEJIANG UNITED EXPORT,CHINA,Peru,2026-04-30,871410,"MOTORCYCLE PARTS",500,1200
"REPUESTOS DEL PACIFICO E.I.R.L.","Av. Argentina 2085, Callao, Lima",WENZHOU RUIAN PARTS,CHINA,Peru,2026-06-12,871490,"MOTORCYCLE ELECTRICAL PARTS",2600,3800
"CAIRO DELTA TRADING CO","45 El Nasr Street, Nasr City, Cairo",QINGDAO TOPWAY IMP EXP,CHINA,Egypt,2026-05-27,401120,"TYRES FOR MOTORCYCLES",5200,26000
"CAIRO DELTA TRADING CO","45 El Nasr Street, Nasr City, Cairo",CHONGQING LONGXIN EXPORT,CHINA,Egypt,2026-03-19,871410,"ENGINE ASSEMBLY 150CC",640,11800
"CAIRO DELTA TRADING CO","45 El Nasr Street, Nasr City, Cairo",FOSHAN NANHAI AUTO PARTS,CHINA,Egypt,2026-01-08,871420,"CLUTCH PLATES",3300,2900
"PT SURYA MOTOR PARTS INDONESIA","Jl. Raya Bekasi KM 27, Jakarta Timur",NINGBO WELL AUTO,CHINA,Indonesia,2026-06-20,871410,"CG125 GN125 SPARE PARTS MIXED",4100,7600
"MEXICO AUTOPARTES DEL NORTE SA DE CV","Av. Industrias 2200, Monterrey",JIANGSU HUAYU FILTERS,CHINA,Mexico,2026-02-27,842123,"AIR AND OIL FILTERS",6900,8100
